ID,Apelido,Área,Cargo,Tempo de Casa (anos),Valores da Empresa (1-5),Entrega das Atividades (1-5),Trabalho em Equipe (1-5)
110,Pixel,Manutenção,Técnico de Manutenção,"2,9",3,4,4
111,Delta,Administrativo,Analista Administrativo,"0,9",4,3,4
112,Trovão,Marketing,Assistente Marketing,"13,1",4,5,5
113,Cometa,Tecnologia,Analista de Sistemas,"5,7",4,4,5
114,Sirius,Operação,Motorista,5,4,5,4
115,Eco,Tecnologia,Desenvolvedor,"3,9",4,5,4
116,Trovão,Financeiro,Assistente Financeiro,"12,9",5,5,5
117,Pixel,Atendimento,Supervisor Atendimento,"25,1",4,4,4
118,Trovão,Operação,Motorista,"0,9",3,4,5
119,Panda,Atendimento,Supervisor Atendimento,6,5,5,3
120,Lua,Operação,Supervisor Operacional,"0,9",4,4,4
121,Panda,Operação,Fiscal Operacional,"0,8",3,4,4
122,Atlas,Manutenção,Auxiliar de Manutenção,"0,4",3,4,3
123,Delta,Operação,Despachante,"2,1",4,4,4
124,Jade,Comercial,Executivo Comercial,"7,8",4,4,4
125,Eco,Operação,Despachante,"4,7",5,3,4
126,Jade,Jurídico,Assistente Jurídico,"1,1",4,4,4
127,Lua,Operação,Motorista,"0,6",3,4,4
128,Nuvem,Operação,Fiscal Operacional,"6,2",4,4,4
129,Sol,Administrativo,Coordenador Administrativo,"0,4",3,4,5
130,Lua,Planejamento,Analista Planejamento,"4,9",4,3,4
131,Águia,RH,Business Partner,"2,2",4,5,5
132,Panda,Operação,Despachante,"6,9",5,5,4
133,Trovão,Comercial,Executivo Comercial,"4,2",5,5,4
134,Falcão,Comercial,Analista Comercial,"0,6",4,4,4
135,Trovão,Operação,Supervisor Operacional,"0,5",4,4,4
136,Cometa,Operação,Despachante,"4,3",4,4,4
137,Lua,Atendimento,Supervisor Atendimento,"4,8",4,4,4
138,Jade,Tecnologia,Analista de Sistemas,"0,4",5,4,4
139,Sirius,Comercial,Analista Comercial,"3,8",4,5,4
140,Bravo,Comercial,Executivo Comercial,"1,2",4,5,4
141,Panda,Planejamento,Analista Planejamento,"1,3",2,4,4
142,Lobo,Administrativo,Analista Administrativo,"1,9",4,5,3
143,Delta,RH,Business Partner,"4,2",5,4,4
144,Bravo,RH,Assistente RH,"0,4",3,3,4
145,Sirius,Marketing,Assistente Marketing,"7,6",5,5,5
146,Orion,Comercial,Analista Comercial,"2,3",4,5,4
147,Aurora,Operação,Despachante,"1,7",3,4,5
148,Atlas,Tecnologia,Desenvolvedor,"13,6",4,5,4
149,Cometa,Tecnologia,Analista de Dados,"1,2",4,4,5
150,Delta,Operação,Supervisor Operacional,"3,6",4,3,4
151,Atlas,Operação,Motorista,"2,5",5,4,4
152,Eco,Manutenção,Mecânico,"2,5",3,3,3
153,Lua,Operação,Motorista,9,4,5,4
154,Águia,Operação,Supervisor Operacional,"18,5",4,4,4
155,Nuvem,Administrativo,Analista Administrativo,"0,9",4,5,4
156,Nuvem,Experiência do Cliente,Analista CX,"0,9",4,3,4
157,Eco,Marketing,Assistente Marketing,"9,2",4,5,5
158,Delta,Atendimento,Supervisor Atendimento,"0,7",4,5,5
159,Eco,Operação,Motorista,"2,9",5,5,3
160,Eco,Operação,Motorista,6,4,4,3
161,Atlas,Financeiro,Analista Financeiro,"5,8",3,4,4
162,Lobo,Administrativo,Coordenador Administrativo,"0,6",4,3,5
163,Cometa,Operação,Fiscal Operacional,"25,5",5,5,4
164,Águia,Operação,Fiscal Operacional,"6,8",3,4,3
165,Lua,Operação,Motorista,"0,3",4,4,4
166,Nuvem,Marketing,Assistente Marketing,"11,4",5,4,5
167,Vento,Operação,Motorista,"1,3",4,4,5
168,Vento,Operação,Supervisor Operacional,"3,7",4,5,4
169,Águia,Atendimento,Supervisor Atendimento,"1,4",4,4,4
170,Atlas,Operação,Fiscal Operacional,"2,4",4,5,5
171,Falcão,Planejamento,Analista Planejamento,"12,1",4,5,5
172,Cometa,Atendimento,Atendente,"15,1",5,5,5
173,Vento,Operação,Supervisor Operacional,"5,9",5,5,5
174,Sirius,Manutenção,Mecânico,"9,1",3,3,4
175,Atlas,Operação,Fiscal Operacional,"0,3",4,5,4
176,Cometa,Operação,Motorista,"2,4",4,3,4
177,Lobo,Operação,Motorista,"1,9",5,3,5
178,Sirius,Comercial,Analista Comercial,"7,4",5,4,4
179,Pixel,Administrativo,Assistente Administrativo,"0,4",4,4,4
180,Aurora,Administrativo,Coordenador Administrativo,"0,8",4,5,4
181,Delta,Manutenção,Mecânico,"1,4",3,4,3
182,Orion,Comercial,Analista Comercial,"2,9",5,4,4
183,Panda,Tecnologia,Analista de Sistemas,"0,4",4,4,5
184,Atlas,Comercial,Analista Comercial,"1,1",4,4,4
185,Jade,Comercial,Analista Comercial,"10,7",5,4,4
186,Lua,Tecnologia,Analista de Dados,"12,8",5,4,4
187,Aurora,Marketing,Analista Marketing,1,4,4,4
188,Sol,Operação,Fiscal Operacional,"0,6",4,4,3
189,Pixel,RH,Analista RH,"2,8",3,3,4
190,Lobo,Tecnologia,Analista de Dados,"2,2",5,5,4
191,Eco,Administrativo,Assistente Administrativo,"1,6",5,4,5
192,Safira,Tecnologia,Analista de Dados,"3,1",5,4,5
193,Orion,Manutenção,Auxiliar de Manutenção,"1,1",3,3,4
194,Pixel,Planejamento,Analista Planejamento,"4,4",4,4,4
195,Pixel,Marketing,Assistente Marketing,"20,1",4,4,4
196,Delta,Operação,Motorista,"30,9",5,4,4
197,Delta,Planejamento,Analista Planejamento,3,5,3,4
198,Vento,Operação,Motorista,"7,7",5,4,3
199,Bravo,Tecnologia,Analista de Sistemas,"6,4",5,4,3
200,Eco,Operação,Fiscal Operacional,"0,5",3,4,4
201,Lobo,Administrativo,Analista Administrativo,"1,2",4,5,4
202,Nuvem,Marketing,Analista Marketing,"4,5",5,5,4
203,Falcão,Operação,Motorista,"26,9",4,5,4
204,Panda,Administrativo,Assistente Administrativo,1,4,3,4
205,Falcão,Operação,Motorista,"5,2",3,4,5
206,Delta,Operação,Motorista,"14,4",4,4,4
207,Delta,Comercial,Executivo Comercial,4,4,5,5
208,Panda,Comercial,Analista Comercial,"2,2",3,5,4
209,Eco,Administrativo,Coordenador Administrativo,"0,5",4,3,4
210,Falcão,Operação,Supervisor Operacional,"2,2",4,4,4
211,Bravo,Operação,Supervisor Operacional,"27,5",4,4,4
212,Sirius,Financeiro,Assistente Financeiro,"2,4",5,4,4
213,Sol,Tecnologia,Desenvolvedor,"0,7",3,4,4
214,Sol,Operação,Fiscal Operacional,"2,5",4,4,3
215,Jade,Comercial,Analista Comercial,"0,7",4,3,4
216,Orion,Tecnologia,Desenvolvedor,"14,9",5,4,5
217,Nuvem,Operação,Supervisor Operacional,"29,5",5,5,5
218,Eco,Operação,Supervisor Operacional,"8,8",4,4,5
219,Orion,RH,Business Partner,"0,8",3,5,5
220,Falcão,Comercial,Analista Comercial,"0,8",4,4,4
221,Vento,Administrativo,Assistente Administrativo,"24,9",4,5,5
222,Jade,Administrativo,Coordenador Administrativo,"5,9",5,4,4
223,Pixel,Operação,Motorista,"7,5",5,4,3
224,Eco,Marketing,Analista Marketing,"2,5",5,4,5
225,Sol,Operação,Fiscal Operacional,5,5,5,4
226,Atlas,Financeiro,Assistente Financeiro,"1,4",4,5,4
227,Bravo,Manutenção,Mecânico,"4,5",3,3,4
228,Nuvem,Operação,Motorista,"1,7",3,5,4
229,Vento,Operação,Supervisor Operacional,"0,7",5,5,4
230,Delta,Comercial,Executivo Comercial,"3,5",4,5,5
231,Lua,Administrativo,Analista Administrativo,"0,2",4,5,5
232,Eco,Financeiro,Analista Financeiro,"1,3",4,5,4
233,Orion,Manutenção,Técnico de Manutenção,"6,9",4,3,4
234,Panda,Manutenção,Técnico de Manutenção,"16,5",4,4,3
235,Panda,Jurídico,Assistente Jurídico,"4,8",4,4,4
236,Aurora,Administrativo,Analista Administrativo,"0,5",4,4,5
237,Jade,Comercial,Executivo Comercial,"5,8",4,4,4
238,Falcão,Operação,Supervisor Operacional,"5,4",4,5,4
239,Falcão,Experiência do Cliente,Analista CX,"30,7",5,5,5
240,Bravo,Atendimento,Supervisor Atendimento,"4,1",3,4,4
241,Trovão,RH,Business Partner,6,3,3,2
242,Sirius,Administrativo,Assistente Administrativo,"14,5",4,3,5
243,Orion,RH,Assistente RH,"2,5",4,5,4
244,Cometa,Financeiro,Analista Financeiro,"1,5",4,5,3
245,Orion,Tecnologia,Desenvolvedor,"4,8",4,3,5
246,Falcão,Manutenção,Eletricista,"17,6",3,4,4
247,Bravo,Tecnologia,Analista de Dados,"1,6",4,5,5
248,Falcão,Administrativo,Analista Administrativo,"1,6",4,4,4
249,Lobo,Operação,Supervisor Operacional,"14,8",5,4,5
250,Vento,Administrativo,Analista Administrativo,9,5,4,3
251,Lobo,RH,Analista RH,"2,6",5,5,5
252,Pixel,Operação,Supervisor Operacional,"13,8",5,5,4
253,Aurora,Operação,Despachante,"4,2",4,4,4
254,Lobo,Tecnologia,Desenvolvedor,"2,9",4,3,4
255,Sirius,Manutenção,Mecânico,5,3,3,3
256,Bravo,Atendimento,Supervisor Atendimento,12,3,5,4
257,Águia,Tecnologia,Desenvolvedor,"5,9",3,5,5
258,Sirius,Atendimento,Supervisor Atendimento,"1,6",5,4,4
259,Bravo,RH,Business Partner,"19,7",4,5,5
260,Pixel,Tecnologia,Analista de Sistemas,"6,5",4,5,4
261,Falcão,Operação,Fiscal Operacional,"2,9",4,4,4
262,Falcão,Administrativo,Assistente Administrativo,"11,2",2,4,4
263,Pixel,Operação,Fiscal Operacional,"0,5",4,4,4
264,Lobo,Administrativo,Assistente Administrativo,"4,5",4,4,4
265,Eco,Operação,Fiscal Operacional,"0,2",5,5,4
266,Aurora,Atendimento,Supervisor Atendimento,"6,6",4,4,5
267,Cometa,Planejamento,Analista Planejamento,"3,1",4,3,4
268,Bravo,Operação,Motorista,"0,9",3,4,2
269,Atlas,Operação,Fiscal Operacional,"21,9",5,5,4
270,Trovão,Marketing,Assistente Marketing,"9,2",4,5,5
271,Panda,Operação,Supervisor Operacional,1,4,5,5
272,Águia,RH,Analista RH,"2,3",4,4,3
273,Águia,Planejamento,Analista Planejamento,1,5,4,3
274,Falcão,Operação,Fiscal Operacional,1,5,5,5
275,Falcão,Operação,Motorista,5,4,4,5
276,Atlas,Manutenção,Auxiliar de Manutenção,"14,8",5,4,4
277,Cometa,Administrativo,Analista Administrativo,"10,7",4,4,5
278,Trovão,Operação,Despachante,"2,3",4,4,4
279,Safira,Tecnologia,Analista de Dados,"12,3",5,5,4
280,Safira,Comercial,Executivo Comercial,"6,5",4,4,4
281,Safira,Administrativo,Assistente Administrativo,"5,2",4,4,5
282,Lua,Financeiro,Analista Financeiro,"1,9",4,3,4
283,Vento,Comercial,Executivo Comercial,"13,2",5,3,5
284,Vento,Manutenção,Mecânico,"5,5",3,4,4
285,Águia,Marketing,Assistente Marketing,"2,2",4,5,5
286,Falcão,Operação,Despachante,"9,4",3,5,4
287,Safira,Marketing,Analista Marketing,"2,2",4,4,4
288,Safira,Jurídico,Assistente Jurídico,"24,8",4,4,4
289,Panda,Tecnologia,Analista de Sistemas,"1,9",5,4,3
290,Pixel,Operação,Fiscal Operacional,"0,7",4,4,3
291,Delta,Comercial,Analista Comercial,"6,4",5,4,3
292,Lua,Operação,Motorista,8,5,4,5
293,Lobo,Atendimento,Supervisor Atendimento,"6,5",3,3,5
294,Águia,Comercial,Analista Comercial,"2,6",4,5,5
295,Aurora,Atendimento,Atendente,"4,1",4,4,4
296,Delta,Operação,Motorista,"1,3",4,5,3
297,Eco,Operação,Despachante,"5,4",4,4,4
298,Falcão,Tecnologia,Analista de Dados,"2,4",4,4,4
299,Eco,Comercial,Executivo Comercial,"0,5",3,3,4
300,Sirius,Manutenção,Auxiliar de Manutenção,"1,1",4,3,3
301,Jade,Comercial,Analista Comercial,"0,6",4,4,4
302,Panda,Planejamento,Analista Planejamento,"20,4",5,5,4
303,Panda,Operação,Despachante,"1,1",5,4,5
304,Orion,Comercial,Executivo Comercial,"7,7",4,5,5
305,Atlas,Administrativo,Coordenador Administrativo,"12,6",4,3,4
306,Eco,Manutenção,Mecânico,"2,2",3,3,3
307,Jade,Operação,Despachante,"0,7",3,4,3
308,Panda,Financeiro,Analista Financeiro,"1,8",4,4,5
309,Safira,Atendimento,Supervisor Atendimento,"1,3",3,5,5
310,Cometa,Experiência do Cliente,Analista CX,"1,1",3,4,3
311,Lobo,RH,Analista RH,"1,3",4,4,4
312,Delta,Atendimento,Supervisor Atendimento,"0,7",4,4,3
313,Eco,Operação,Fiscal Operacional,"0,8",3,3,4
314,Bravo,Administrativo,Analista Administrativo,"2,7",3,4,4
315,Cometa,Administrativo,Coordenador Administrativo,"1,9",3,4,4
316,Sirius,Marketing,Assistente Marketing,2,4,4,5
317,Panda,Manutenção,Técnico de Manutenção,1,4,4,4
318,Aurora,Atendimento,Atendente,"4,8",3,4,4
319,Orion,Manutenção,Mecânico,"6,5",3,3,3
320,Nuvem,Administrativo,Coordenador Administrativo,"5,1",4,5,3
321,Nuvem,Atendimento,Supervisor Atendimento,"0,7",5,4,4
322,Orion,Operação,Fiscal Operacional,"3,1",4,4,4
323,Lobo,Manutenção,Eletricista,"4,5",4,3,3
324,Falcão,Marketing,Analista Marketing,"9,2",5,4,4
325,Sirius,Operação,Despachante,"4,4",4,4,4
326,Aurora,Operação,Despachante,"5,1",4,4,4
327,Bravo,Tecnologia,Analista de Dados,"13,6",5,4,5
328,Águia,Operação,Motorista,"0,3",5,4,3
329,Safira,Comercial,Analista Comercial,"0,5",3,4,5
330,Sol,Operação,Despachante,6,4,4,3
331,Safira,Manutenção,Eletricista,"2,7",3,3,4
332,Aurora,Manutenção,Eletricista,"7,1",5,3,4
333,Panda,Operação,Motorista,"14,8",4,4,3
334,Atlas,Operação,Motorista,"12,1",4,5,4
335,Pixel,RH,Analista RH,"1,9",4,4,4
336,Lua,Financeiro,Assistente Financeiro,5,4,3,5
337,Eco,Financeiro,Analista Financeiro,"4,6",5,5,4
338,Panda,Comercial,Analista Comercial,"6,9",4,4,5
339,Cometa,Financeiro,Assistente Financeiro,"5,1",5,3,5
340,Falcão,Manutenção,Auxiliar de Manutenção,"14,8",5,4,4
341,Lua,Comercial,Executivo Comercial,"2,2",3,5,3
342,Cometa,Operação,Supervisor Operacional,"14,8",5,5,5
343,Panda,Operação,Supervisor Operacional,"3,7",4,4,4
344,Lobo,Administrativo,Assistente Administrativo,"17,8",5,2,4
345,Trovão,Operação,Fiscal Operacional,"14,5",5,4,3
346,Orion,Comercial,Executivo Comercial,"2,6",5,4,4
347,Atlas,Marketing,Analista Marketing,"0,9",5,4,4
348,Lobo,Manutenção,Mecânico,"22,8",5,4,4
349,Sirius,Operação,Motorista,"0,5",5,4,4
350,Safira,Experiência do Cliente,Analista CX,"1,8",4,4,4
351,Eco,Comercial,Analista Comercial,"0,6",4,4,4
352,Sirius,Marketing,Assistente Marketing,"0,8",5,5,5
353,Atlas,Operação,Despachante,"5,8",4,4,4
354,Águia,Atendimento,Atendente,"0,4",5,5,4
355,Lobo,Operação,Despachante,"12,4",5,5,4
356,Cometa,Operação,Supervisor Operacional,7,4,4,4
357,Águia,Operação,Motorista,"1,6",5,4,4
358,Orion,Tecnologia,Analista de Dados,"6,5",4,5,4
359,Falcão,Manutenção,Mecânico,"11,9",4,5,4
360,Pixel,Operação,Fiscal Operacional,"5,5",4,4,4
361,Jade,Operação,Supervisor Operacional,1,4,4,2
362,Aurora,Experiência do Cliente,Analista CX,"1,7",3,4,4
363,Sirius,Tecnologia,Analista de Sistemas,"17,4",5,5,5
364,Aurora,Planejamento,Analista Planejamento,"1,2",4,5,3
365,Falcão,Manutenção,Eletricista,"29,3",3,4,3
366,Trovão,Financeiro,Analista Financeiro,"5,3",3,4,5
367,Orion,Operação,Fiscal Operacional,"1,4",5,4,4
368,Trovão,Comercial,Executivo Comercial,"0,9",3,4,4
369,Eco,RH,Analista RH,"5,5",4,5,4
370,Orion,Administrativo,Assistente Administrativo,"4,8",4,3,4
371,Jade,Operação,Motorista,"8,1",5,5,4
372,Lua,Manutenção,Auxiliar de Manutenção,"0,7",3,4,3
373,Atlas,Tecnologia,Analista de Dados,"2,1",4,4,5
374,Safira,Operação,Motorista,"1,8",4,3,4
375,Panda,Operação,Motorista,"2,7",5,4,4
376,Lobo,Operação,Supervisor Operacional,"3,8",4,4,4
377,Lobo,Operação,Despachante,"29,6",4,4,5
378,Pixel,Operação,Despachante,"2,7",4,5,3
379,Lobo,Tecnologia,Desenvolvedor,"2,5",4,4,5
380,Orion,Marketing,Analista Marketing,"4,4",4,4,4
381,Lobo,Experiência do Cliente,Analista CX,"28,9",4,4,5
382,Lua,Experiência do Cliente,Analista CX,"16,3",5,5,5
383,Águia,Experiência do Cliente,Analista CX,6,4,3,4
384,Cometa,Marketing,Analista Marketing,"10,5",4,5,5
385,Atlas,Operação,Motorista,"28,5",4,5,3
386,Lobo,Administrativo,Analista Administrativo,"8,1",4,5,5
387,Trovão,Comercial,Executivo Comercial,"2,5",4,3,5
388,Panda,Marketing,Analista Marketing,6,5,4,5
389,Lua,Comercial,Executivo Comercial,3,4,4,4
390,Delta,Marketing,Analista Marketing,"16,2",4,5,5
391,Sirius,Experiência do Cliente,Analista CX,"5,8",4,4,4
392,Lua,Manutenção,Auxiliar de Manutenção,"9,6",3,5,4
393,Cometa,Experiência do Cliente,Analista CX,"4,3",4,4,5
394,Eco,Comercial,Executivo Comercial,"0,7",5,4,5
395,Lobo,Operação,Motorista,"2,3",4,4,4
396,Panda,Manutenção,Eletricista,"0,5",4,4,3
397,Safira,Tecnologia,Desenvolvedor,"25,7",4,5,4
398,Sol,Operação,Supervisor Operacional,"11,5",4,4,5
399,Pixel,Manutenção,Eletricista,"0,2",3,3,3
400,Trovão,Manutenção,Técnico de Manutenção,"2,8",3,2,3
401,Safira,Atendimento,Supervisor Atendimento,"0,6",4,5,4
402,Sirius,Administrativo,Coordenador Administrativo,"0,2",5,4,4
403,Pixel,Tecnologia,Analista de Sistemas,"0,5",3,4,4
404,Safira,Planejamento,Analista Planejamento,"2,8",4,2,3
405,Orion,Operação,Supervisor Operacional,"9,1",5,5,5
406,Delta,Atendimento,Atendente,"2,4",5,5,4
407,Sol,Marketing,Analista Marketing,"3,6",4,5,4
408,Sol,Operação,Motorista,"13,3",4,5,4
409,Delta,Operação,Fiscal Operacional,"29,9",4,5,4
410,Orion,Experiência do Cliente,Analista CX,"5,5",4,3,3
411,Trovão,Operação,Supervisor Operacional,"2,3",3,5,3
412,Lobo,Operação,Despachante,"5,7",2,4,4
413,Trovão,Experiência do Cliente,Analista CX,"7,2",5,4,4
414,Vento,Operação,Despachante,"9,7",4,5,5
415,Atlas,Operação,Motorista,"3,5",4,5,4
416,Atlas,Comercial,Executivo Comercial,"4,9",3,4,3
417,Safira,Operação,Fiscal Operacional,"1,5",3,5,4
418,Delta,Tecnologia,Desenvolvedor,"1,1",5,5,5
419,Sol,Financeiro,Assistente Financeiro,"25,7",5,5,5
420,Panda,Administrativo,Assistente Administrativo,"11,6",3,4,5
421,Panda,Operação,Despachante,"27,5",4,5,4
422,Orion,Operação,Supervisor Operacional,"0,2",4,5,5
423,Trovão,Administrativo,Assistente Administrativo,16,5,4,5
424,Lua,Tecnologia,Desenvolvedor,"4,5",4,3,5
425,Cometa,Operação,Fiscal Operacional,"4,8",3,3,4
426,Pixel,Tecnologia,Desenvolvedor,"0,7",5,4,4
427,Vento,Manutenção,Auxiliar de Manutenção,"1,9",4,5,3
428,Nuvem,Tecnologia,Analista de Dados,"4,3",5,5,5
429,Jade,Operação,Fiscal Operacional,"0,6",4,4,5
430,Cometa,Manutenção,Mecânico,"6,3",4,5,5
431,Eco,Operação,Fiscal Operacional,"7,7",4,5,4
432,Águia,RH,Assistente RH,"2,3",3,4,4
433,Atlas,Experiência do Cliente,Analista CX,"20,4",4,4,4
434,Orion,Tecnologia,Analista de Sistemas,"0,4",4,4,5
435,Águia,Operação,Despachante,"11,1",4,4,4
436,Aurora,Manutenção,Mecânico,"24,3",3,4,4
437,Panda,Operação,Motorista,"15,6",5,5,5
438,Bravo,Operação,Motorista,"1,6",4,5,4
439,Trovão,Operação,Fiscal Operacional,"4,8",5,3,4
440,Delta,Manutenção,Técnico de Manutenção,"27,9",4,4,4
441,Atlas,Operação,Supervisor Operacional,"2,9",3,4,4
442,Falcão,Atendimento,Supervisor Atendimento,"12,7",4,4,4
443,Bravo,Tecnologia,Analista de Sistemas,"10,6",3,5,4
444,Bravo,Marketing,Assistente Marketing,"0,5",4,5,4
445,Trovão,RH,Analista RH,13,5,4,3
446,Pixel,Financeiro,Assistente Financeiro,25,5,4,5
447,Sirius,Manutenção,Auxiliar de Manutenção,"6,6",3,3,3
448,Panda,Administrativo,Assistente Administrativo,"22,6",5,4,4
449,Nuvem,Jurídico,Assistente Jurídico,"2,4",3,4,4
