ID_Funcionario,Apelido,Idade,Faixa_Idade,Anos_na_Empresa,Class_Experiencia,Area,Cargo,Nivel_Satisfacao ,Desc_Satisfacao ,Recomendaria ,Desc_Recomendaria 
499,Águia,57,50-58,"2,1",Consolidação,Tecnologia,Analista de Sistemas,4,Satisfeito,4,Recomendaria
486,Vento,53,50-58,"2,8",Consolidação,Marketing,Analista Marketing,4,Satisfeito,4,Recomendaria
178,Falcão,58,50-58,"3,4",Maturidade,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
217,Bravo,51,50-58,"3,6",Maturidade,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
152,Pixel,54,50-58,"3,8",Maturidade,Tecnologia,Analista de Dados,4,Satisfeito,5,Recomendaria fortemente
111,Delta,53,50-58,"4,1",Maturidade,Experiência do Cliente,Analista CX,4,Satisfeito,3,Neutro
172,Aurora,51,50-58,"4,2",Maturidade,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
185,Vento,58,50-58,"5,9",Embaixadores,Comercial,Analista Comercial,4,Satisfeito,4,Recomendaria
418,Delta,51,50-58,"5,9",Embaixadores,Comercial,Executivo Comercial,4,Satisfeito,4,Recomendaria
164,Orion,55,50-58,"6,7",Embaixadores,Marketing,Analista Marketing,5,Muito satisfeito,5,Recomendaria fortemente
331,Lua,53,50-58,"6,9",Embaixadores,Operação,Supervisor Operacional,4,Satisfeito,3,Neutro
240,Aurora,54,50-58,7,Embaixadores,Operação,Supervisor Operacional,4,Satisfeito,4,Recomendaria
31,Jade,51,50-58,"8,4",Embaixadores,Financeiro,Analista Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
485,Sirius,52,50-58,"9,7",Embaixadores,Comercial,Analista Comercial,5,Muito satisfeito,4,Recomendaria
85,Orion,58,50-58,"10,3",Veteranos,Operação,Despachante,4,Satisfeito,4,Recomendaria
99,Orion,51,50-58,"10,6",Veteranos,Marketing,Assistente Marketing,3,Neutro,3,Neutro
497,Trovão,54,50-58,"11,3",Veteranos,Administrativo,Analista Administrativo,4,Satisfeito,4,Recomendaria
298,Aurora,51,50-58,"11,8",Veteranos,Marketing,Assistente Marketing,5,Muito satisfeito,5,Recomendaria fortemente
125,Atlas,53,50-58,"19,8",Veteranos,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
160,Vento,51,50-58,"20,8",Legado,Tecnologia,Analista de Dados,5,Muito satisfeito,5,Recomendaria fortemente
115,Pixel,54,50-58,"25,8",Legado,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
278,Pixel,56,50-58,"26,6",Legado,Operação,Despachante,4,Satisfeito,4,Recomendaria
373,Águia,43,42-50,"0,2",Integração,Operação,Motorista,4,Satisfeito,4,Recomendaria
255,Panda,47,42-50,"0,6",Integração,Tecnologia,Analista de Dados,3,Neutro,4,Recomendaria
420,Lobo,47,42-50,"0,6",Integração,Manutenção,Auxiliar de Manutenção,3,Neutro,3,Neutro
488,Águia,45,42-50,"0,6",Integração,Administrativo,Analista Administrativo,3,Neutro,2,Pouco provável recomendar
46,Vento,47,42-50,"0,7",Integração,Jurídico,Assistente Jurídico,5,Muito satisfeito,5,Recomendaria fortemente
128,Safira,50,42-50,"0,7",Integração,Administrativo,Assistente Administrativo,4,Satisfeito,5,Recomendaria fortemente
222,Trovão,45,42-50,"0,9",Integração,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
312,Trovão,43,42-50,"0,9",Integração,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
338,Safira,45,42-50,"0,9",Integração,Atendimento,Atendente,4,Satisfeito,4,Recomendaria
147,Lobo,45,42-50,"1,1",Consolidação,Marketing,Assistente Marketing,5,Muito satisfeito,5,Recomendaria fortemente
320,Panda,48,42-50,"1,1",Consolidação,Operação,Motorista,4,Satisfeito,5,Recomendaria fortemente
116,Pixel,46,42-50,"1,2",Consolidação,Atendimento,Atendente,5,Muito satisfeito,4,Recomendaria
337,Trovão,46,42-50,"1,2",Consolidação,Experiência do Cliente,Analista CX,3,Neutro,4,Recomendaria
445,Falcão,43,42-50,"1,2",Consolidação,Operação,Motorista,4,Satisfeito,4,Recomendaria
450,Lobo,50,42-50,"1,2",Consolidação,RH,Analista RH,3,Neutro,3,Neutro
44,Panda,47,42-50,"1,3",Consolidação,Atendimento,Supervisor Atendimento,5,Muito satisfeito,5,Recomendaria fortemente
307,Sol,48,42-50,"1,3",Consolidação,Manutenção,Eletricista,4,Satisfeito,4,Recomendaria
59,Safira,44,42-50,"1,4",Consolidação,Manutenção,Auxiliar de Manutenção,3,Neutro,4,Recomendaria
169,Bravo,44,42-50,"1,5",Consolidação,Atendimento,Supervisor Atendimento,4,Satisfeito,5,Recomendaria fortemente
269,Trovão,43,42-50,"1,5",Consolidação,Tecnologia,Analista de Sistemas,3,Neutro,3,Neutro
395,Cometa,50,42-50,"1,5",Consolidação,Jurídico,Assistente Jurídico,4,Satisfeito,4,Recomendaria
123,Jade,44,42-50,"1,6",Consolidação,Operação,Supervisor Operacional,3,Neutro,3,Neutro
187,Atlas,44,42-50,"1,6",Consolidação,Atendimento,Atendente,3,Neutro,4,Recomendaria
461,Lua,47,42-50,"1,7",Consolidação,RH,Analista RH,5,Muito satisfeito,5,Recomendaria fortemente
396,Falcão,49,42-50,"1,8",Consolidação,Administrativo,Analista Administrativo,4,Satisfeito,5,Recomendaria fortemente
184,Jade,50,42-50,"1,9",Consolidação,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
275,Nuvem,45,42-50,"1,9",Consolidação,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
62,Bravo,44,42-50,2,Consolidação,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
64,Pixel,43,42-50,2,Consolidação,Atendimento,Supervisor Atendimento,4,Satisfeito,4,Recomendaria
140,Sirius,50,42-50,2,Consolidação,Tecnologia,Analista de Sistemas,5,Muito satisfeito,5,Recomendaria fortemente
103,Trovão,45,42-50,"2,1",Consolidação,Tecnologia,Analista de Dados,5,Muito satisfeito,5,Recomendaria fortemente
250,Nuvem,49,42-50,"2,2",Consolidação,Financeiro,Analista Financeiro,3,Neutro,2,Pouco provável recomendar
314,Sol,43,42-50,"2,3",Consolidação,Administrativo,Coordenador Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
389,Safira,48,42-50,"2,4",Consolidação,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
327,Atlas,44,42-50,"2,8",Consolidação,Experiência do Cliente,Analista CX,3,Neutro,4,Recomendaria
268,Lobo,45,42-50,"2,9",Consolidação,Operação,Motorista,3,Neutro,3,Neutro
483,Orion,46,42-50,"2,9",Consolidação,Marketing,Assistente Marketing,5,Muito satisfeito,5,Recomendaria fortemente
398,Falcão,48,42-50,"3,2",Maturidade,Operação,Despachante,4,Satisfeito,4,Recomendaria
340,Pixel,48,42-50,"3,7",Maturidade,Jurídico,Assistente Jurídico,4,Satisfeito,4,Recomendaria
92,Vento,43,42-50,"4,5",Maturidade,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
236,Vento,43,42-50,"4,5",Maturidade,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
183,Águia,46,42-50,"4,8",Maturidade,Manutenção,Técnico de Manutenção,3,Neutro,3,Neutro
456,Sol,44,42-50,"4,9",Maturidade,Manutenção,Auxiliar de Manutenção,4,Satisfeito,5,Recomendaria fortemente
181,Safira,45,42-50,5,Maturidade,Atendimento,Supervisor Atendimento,5,Muito satisfeito,5,Recomendaria fortemente
159,Sirius,48,42-50,"5,1",Embaixadores,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
224,Nuvem,47,42-50,"5,3",Embaixadores,Comercial,Analista Comercial,3,Neutro,3,Neutro
325,Panda,49,42-50,"5,4",Embaixadores,Administrativo,Analista Administrativo,4,Satisfeito,4,Recomendaria
435,Pixel,47,42-50,"5,9",Embaixadores,Manutenção,Auxiliar de Manutenção,4,Satisfeito,4,Recomendaria
294,Sirius,47,42-50,"6,2",Embaixadores,Planejamento,Analista Planejamento,4,Satisfeito,4,Recomendaria
402,Vento,50,42-50,"7,3",Embaixadores,Administrativo,Analista Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
469,Delta,48,42-50,"8,9",Embaixadores,Tecnologia,Desenvolvedor,5,Muito satisfeito,5,Recomendaria fortemente
374,Nuvem,49,42-50,9,Embaixadores,Manutenção,Eletricista,4,Satisfeito,4,Recomendaria
417,Cometa,47,42-50,"9,2",Embaixadores,Atendimento,Atendente,5,Muito satisfeito,5,Recomendaria fortemente
303,Sol,45,42-50,"9,3",Embaixadores,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
490,Safira,46,42-50,"9,6",Embaixadores,Marketing,Assistente Marketing,4,Satisfeito,4,Recomendaria
466,Pixel,43,42-50,"9,8",Embaixadores,Manutenção,Auxiliar de Manutenção,3,Neutro,2,Pouco provável recomendar
216,Sirius,43,42-50,"11,6",Veteranos,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
114,Pixel,47,42-50,"12,5",Veteranos,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
146,Bravo,49,42-50,"12,6",Veteranos,Manutenção,Mecânico,5,Muito satisfeito,4,Recomendaria
150,Nuvem,47,42-50,"13,8",Veteranos,Marketing,Assistente Marketing,4,Satisfeito,5,Recomendaria fortemente
180,Aurora,44,42-50,"20,1",Legado,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
289,Eco,44,42-50,"20,1",Legado,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
265,Lua,46,42-50,24,Legado,Administrativo,Analista Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
194,Lobo,47,42-50,"24,7",Legado,Comercial,Executivo Comercial,4,Satisfeito,5,Recomendaria fortemente
212,Vento,44,42-50,"24,8",Legado,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
58,Águia,44,42-50,"26,5",Legado,Tecnologia,Desenvolvedor,4,Satisfeito,4,Recomendaria
205,Lua,49,42-50,"28,2",Legado,Operação,Supervisor Operacional,4,Satisfeito,4,Recomendaria
132,Pixel,48,42-50,"28,7",Legado,Operação,Motorista,5,Muito satisfeito,5,Recomendaria fortemente
376,Delta,43,42-50,"28,8",Legado,Operação,Motorista,5,Muito satisfeito,5,Recomendaria fortemente
304,Safira,49,42-50,"29,5",Legado,RH,Business Partner,4,Satisfeito,4,Recomendaria
50,Lua,42,34-42,"0,2",Integração,Experiência do Cliente,Analista CX,3,Neutro,3,Neutro
210,Sirius,36,34-42,"0,2",Integração,Financeiro,Analista Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
198,Falcão,35,34-42,"0,3",Integração,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
301,Falcão,35,34-42,"0,4",Integração,Operação,Despachante,4,Satisfeito,3,Neutro
457,Vento,40,34-42,"0,4",Integração,Comercial,Executivo Comercial,4,Satisfeito,4,Recomendaria
41,Vento,42,34-42,"0,5",Integração,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
274,Delta,36,34-42,"0,5",Integração,Operação,Despachante,4,Satisfeito,4,Recomendaria
305,Safira,41,34-42,"0,5",Integração,Experiência do Cliente,Analista CX,2,Insatisfeito,2,Pouco provável recomendar
478,Águia,37,34-42,"0,5",Integração,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
449,Nuvem,41,34-42,"0,6",Integração,Administrativo,Coordenador Administrativo,3,Neutro,3,Neutro
500,Lobo,40,34-42,"0,6",Integração,Financeiro,Analista Financeiro,4,Satisfeito,4,Recomendaria
131,Delta,42,34-42,"0,8",Integração,Planejamento,Analista Planejamento,3,Neutro,3,Neutro
110,Sol,41,34-42,"0,9",Integração,Comercial,Analista Comercial,4,Satisfeito,4,Recomendaria
163,Águia,37,34-42,"0,9",Integração,Operação,Motorista,4,Satisfeito,4,Recomendaria
263,Lobo,36,34-42,"0,9",Integração,Marketing,Assistente Marketing,4,Satisfeito,4,Recomendaria
287,Delta,39,34-42,"0,9",Integração,Comercial,Analista Comercial,3,Neutro,4,Recomendaria
319,Cometa,42,34-42,1,Consolidação,Administrativo,Assistente Administrativo,3,Neutro,3,Neutro
18,Nuvem,42,34-42,"1,1",Consolidação,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
47,Nuvem,38,34-42,"1,1",Consolidação,Experiência do Cliente,Analista CX,4,Satisfeito,5,Recomendaria fortemente
241,Águia,39,34-42,"1,1",Consolidação,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
291,Delta,38,34-42,"1,2",Consolidação,Administrativo,Assistente Administrativo,3,Neutro,2,Pouco provável recomendar
310,Lua,41,34-42,"1,2",Consolidação,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
52,Delta,42,34-42,"1,5",Consolidação,Atendimento,Atendente,5,Muito satisfeito,4,Recomendaria
66,Águia,35,34-42,"1,5",Consolidação,Manutenção,Eletricista,5,Muito satisfeito,5,Recomendaria fortemente
196,Falcão,36,34-42,"1,5",Consolidação,Operação,Despachante,5,Muito satisfeito,4,Recomendaria
206,Eco,36,34-42,"1,6",Consolidação,Financeiro,Assistente Financeiro,3,Neutro,3,Neutro
296,Sol,40,34-42,"1,6",Consolidação,Operação,Despachante,4,Satisfeito,4,Recomendaria
213,Orion,37,34-42,"1,7",Consolidação,Administrativo,Coordenador Administrativo,4,Satisfeito,4,Recomendaria
333,Delta,38,34-42,"1,7",Consolidação,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
134,Nuvem,40,34-42,"1,9",Consolidação,Experiência do Cliente,Analista CX,4,Satisfeito,4,Recomendaria
414,Delta,35,34-42,"1,9",Consolidação,Financeiro,Assistente Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
487,Falcão,37,34-42,"1,9",Consolidação,Operação,Despachante,3,Neutro,3,Neutro
71,Cometa,39,34-42,2,Consolidação,Operação,Supervisor Operacional,4,Satisfeito,3,Neutro
108,Aurora,41,34-42,2,Consolidação,Operação,Motorista,4,Satisfeito,4,Recomendaria
326,Cometa,38,34-42,"2,2",Consolidação,Operação,Fiscal Operacional,4,Satisfeito,3,Neutro
422,Jade,42,34-42,"2,3",Consolidação,Administrativo,Analista Administrativo,5,Muito satisfeito,5,Recomendaria fortemente
141,Lua,41,34-42,"2,4",Consolidação,Financeiro,Assistente Financeiro,4,Satisfeito,4,Recomendaria
2,Panda,37,34-42,"2,5",Consolidação,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
197,Pixel,41,34-42,"2,5",Consolidação,Operação,Despachante,4,Satisfeito,4,Recomendaria
498,Falcão,36,34-42,"2,6",Consolidação,Planejamento,Analista Planejamento,4,Satisfeito,5,Recomendaria fortemente
295,Lobo,39,34-42,"2,7",Consolidação,Tecnologia,Analista de Sistemas,4,Satisfeito,4,Recomendaria
68,Aurora,36,34-42,"2,8",Consolidação,Operação,Fiscal Operacional,3,Neutro,3,Neutro
283,Orion,36,34-42,"2,8",Consolidação,Manutenção,Auxiliar de Manutenção,3,Neutro,2,Pouco provável recomendar
153,Safira,40,34-42,"2,9",Consolidação,Manutenção,Auxiliar de Manutenção,3,Neutro,3,Neutro
237,Cometa,41,34-42,"2,9",Consolidação,Atendimento,Atendente,4,Satisfeito,4,Recomendaria
155,Cometa,36,34-42,3,Consolidação,Financeiro,Assistente Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
254,Aurora,38,34-42,3,Consolidação,Operação,Motorista,5,Muito satisfeito,5,Recomendaria fortemente
397,Safira,36,34-42,3,Consolidação,Planejamento,Analista Planejamento,4,Satisfeito,4,Recomendaria
408,Orion,38,34-42,"3,3",Maturidade,Operação,Fiscal Operacional,5,Muito satisfeito,4,Recomendaria
472,Lobo,38,34-42,"3,3",Maturidade,Operação,Despachante,4,Satisfeito,4,Recomendaria
118,Falcão,37,34-42,"3,5",Maturidade,Operação,Motorista,4,Satisfeito,4,Recomendaria
424,Atlas,42,34-42,"3,5",Maturidade,Comercial,Executivo Comercial,4,Satisfeito,4,Recomendaria
323,Trovão,38,34-42,"3,8",Maturidade,RH,Analista RH,4,Satisfeito,4,Recomendaria
480,Orion,38,34-42,"3,8",Maturidade,Operação,Despachante,4,Satisfeito,5,Recomendaria fortemente
9,Safira,38,34-42,"3,9",Maturidade,Manutenção,Técnico de Manutenção,3,Neutro,3,Neutro
176,Águia,37,34-42,"3,9",Maturidade,Experiência do Cliente,Analista CX,4,Satisfeito,4,Recomendaria
223,Jade,42,34-42,"4,2",Maturidade,Operação,Despachante,4,Satisfeito,4,Recomendaria
257,Cometa,37,34-42,"4,2",Maturidade,Jurídico,Assistente Jurídico,5,Muito satisfeito,5,Recomendaria fortemente
491,Vento,37,34-42,"4,5",Maturidade,Atendimento,Atendente,4,Satisfeito,4,Recomendaria
15,Eco,40,34-42,"4,6",Maturidade,Tecnologia,Analista de Dados,5,Muito satisfeito,5,Recomendaria fortemente
25,Bravo,42,34-42,"4,8",Maturidade,Tecnologia,Desenvolvedor,4,Satisfeito,3,Neutro
43,Jade,40,34-42,5,Maturidade,Tecnologia,Analista de Dados,5,Muito satisfeito,5,Recomendaria fortemente
167,Sol,37,34-42,5,Maturidade,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
415,Águia,36,34-42,5,Maturidade,Marketing,Analista Marketing,4,Satisfeito,3,Neutro
89,Lua,40,34-42,"5,2",Embaixadores,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
37,Bravo,35,34-42,"5,3",Embaixadores,Operação,Fiscal Operacional,4,Satisfeito,5,Recomendaria fortemente
121,Panda,39,34-42,"5,3",Embaixadores,RH,Analista RH,4,Satisfeito,5,Recomendaria fortemente
162,Nuvem,35,34-42,"5,3",Embaixadores,Operação,Despachante,4,Satisfeito,4,Recomendaria
258,Eco,39,34-42,"5,3",Embaixadores,Atendimento,Atendente,3,Neutro,4,Recomendaria
119,Orion,41,34-42,"5,4",Embaixadores,RH,Business Partner,4,Satisfeito,4,Recomendaria
267,Sol,35,34-42,"5,4",Embaixadores,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
28,Atlas,42,34-42,"6,1",Embaixadores,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
207,Vento,36,34-42,"6,1",Embaixadores,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
21,Bravo,35,34-42,"6,3",Embaixadores,Operação,Motorista,5,Muito satisfeito,5,Recomendaria fortemente
225,Pixel,37,34-42,"6,9",Embaixadores,Operação,Fiscal Operacional,5,Muito satisfeito,4,Recomendaria
412,Sirius,37,34-42,"6,9",Embaixadores,Administrativo,Coordenador Administrativo,4,Satisfeito,3,Neutro
29,Delta,42,34-42,"7,6",Embaixadores,Financeiro,Analista Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
177,Orion,37,34-42,"7,6",Embaixadores,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
371,Cometa,38,34-42,"8,5",Embaixadores,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
79,Safira,39,34-42,"8,7",Embaixadores,Tecnologia,Analista de Sistemas,4,Satisfeito,5,Recomendaria fortemente
49,Sol,39,34-42,"9,2",Embaixadores,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
174,Lua,37,34-42,"9,5",Embaixadores,Operação,Supervisor Operacional,4,Satisfeito,5,Recomendaria fortemente
73,Jade,35,34-42,"10,8",Veteranos,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
226,Aurora,38,34-42,"11,2",Veteranos,Operação,Motorista,4,Satisfeito,4,Recomendaria
35,Delta,41,34-42,"12,2",Veteranos,Tecnologia,Analista de Sistemas,3,Neutro,3,Neutro
270,Aurora,35,34-42,"12,2",Veteranos,Comercial,Executivo Comercial,5,Muito satisfeito,5,Recomendaria fortemente
69,Águia,36,34-42,"12,3",Veteranos,Financeiro,Assistente Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
189,Panda,35,34-42,"12,9",Veteranos,Operação,Despachante,4,Satisfeito,4,Recomendaria
259,Nuvem,37,34-42,"13,2",Veteranos,Administrativo,Analista Administrativo,3,Neutro,3,Neutro
471,Vento,37,34-42,"13,2",Veteranos,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
40,Cometa,40,34-42,"13,8",Veteranos,Atendimento,Atendente,5,Muito satisfeito,5,Recomendaria fortemente
202,Bravo,36,34-42,"14,3",Veteranos,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
246,Delta,39,34-42,"14,6",Veteranos,RH,Analista RH,5,Muito satisfeito,5,Recomendaria fortemente
3,Jade,38,34-42,"18,8",Veteranos,Financeiro,Assistente Financeiro,5,Muito satisfeito,5,Recomendaria fortemente
463,Atlas,40,34-42,"21,4",Legado,Marketing,Analista Marketing,5,Muito satisfeito,5,Recomendaria fortemente
391,Trovão,35,34-42,"22,4",Legado,Atendimento,Atendente,4,Satisfeito,3,Neutro
350,Águia,41,34-42,"22,9",Legado,Tecnologia,Analista de Dados,4,Satisfeito,5,Recomendaria fortemente
16,Lua,39,34-42,26,Legado,Comercial,Analista Comercial,5,Muito satisfeito,5,Recomendaria fortemente
136,Nuvem,32,26-34,"0,2",Integração,Tecnologia,Analista de Sistemas,4,Satisfeito,4,Recomendaria
182,Sirius,32,26-34,"0,2",Integração,Financeiro,Analista Financeiro,3,Neutro,4,Recomendaria
286,Jade,27,26-34,"0,2",Integração,Operação,Fiscal Operacional,4,Satisfeito,5,Recomendaria fortemente
227,Sol,27,26-34,"0,3",Integração,Operação,Fiscal Operacional,4,Satisfeito,4,Recomendaria
238,Falcão,34,26-34,"0,3",Integração,Administrativo,Analista Administrativo,4,Satisfeito,4,Recomendaria
242,Safira,32,26-34,"0,3",Integração,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
272,Delta,28,26-34,"0,3",Integração,Operação,Motorista,5,Muito satisfeito,5,Recomendaria fortemente
341,Safira,26,26-34,"0,3",Integração,Atendimento,Atendente,4,Satisfeito,4,Recomendaria
209,Aurora,27,26-34,"0,4",Integração,Comercial,Executivo Comercial,3,Neutro,4,Recomendaria
233,Lua,33,26-34,"0,4",Integração,Operação,Fiscal Operacional,5,Muito satisfeito,5,Recomendaria fortemente
260,Nuvem,29,26-34,"0,4",Integração,Financeiro,Analista Financeiro,4,Satisfeito,4,Recomendaria
345,Nuvem,32,26-34,"0,4",Integração,Comercial,Executivo Comercial,3,Neutro,2,Pouco provável recomendar
357,Vento,27,26-34,"0,4",Integração,Atendimento,Atendente,4,Satisfeito,4,Recomendaria
87,Safira,34,26-34,"0,5",Integração,Tecnologia,Analista de Dados,5,Muito satisfeito,4,Recomendaria
336,Águia,30,26-34,"0,5",Integração,Operação,Supervisor Operacional,4,Satisfeito,4,Recomendaria
1,Jade,34,26-34,"0,6",Integração,Operação,Motorista,5,Muito satisfeito,4,Recomendaria
137,Águia,26,26-34,"0,6",Integração,Operação,Motorista,4,Satisfeito,4,Recomendaria
322,Trovão,30,26-34,"0,6",Integração,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
352,Águia,30,26-34,"0,6",Integração,Operação,Supervisor Operacional,5,Muito satisfeito,5,Recomendaria fortemente
482,Atlas,26,26-34,"0,6",Integração,Experiência do Cliente,Analista CX,5,Muito satisfeito,5,Recomendaria fortemente
154,Cometa,29,26-34,"0,7",Integração,Tecnologia,Desenvolvedor,4,Satisfeito,5,Recomendaria fortemente
266,Aurora,33,26-34,"0,7",Integração,Operação,Despachante,5,Muito satisfeito,5,Recomendaria fortemente
436,Atlas,27,26-34,"0,7",Integração,Operação,Motorista,4,Satisfeito,4,Recomendaria
451,Delta,27,26-34,"0,7",Integração,Marketing,Assistente Marketing,4,Satisfeito,3,Neutro
38,Delta,32,26-34,"0,8",Integração,Administrativo,Coordenador Administrativo,4,Satisfeito,4,Recomendaria
