ID,Apelido,Idade,Tempo de Casa (anos),Área,Cargo,Satisfação (1-5),Recomendaria (1-5)
169,Bravo,44,"1,5",Atendimento,Supervisor Atendimento,4,5
170,Safira,25,"3,8",RH,Assistente RH,2,3
171,Sol,26,"1,9",Operação,Motorista,4,4
172,Aurora,51,"4,2",Operação,Fiscal Operacional,5,5
173,Cometa,18,"0,5",Operação,Fiscal Operacional,5,5
174,Lua,37,"9,5",Operação,Supervisor Operacional,4,5
175,Águia,18,"6,4",Tecnologia,Analista de Dados,5,5
176,Águia,37,"3,9",Experiência do Cliente,Analista CX,4,4
177,Orion,37,"7,6",Operação,Despachante,5,5
178,Falcão,58,"3,4",Operação,Fiscal Operacional,4,4
179,Vento,27,"2,3",Administrativo,Assistente Administrativo,4,4
180,Aurora,44,"20,1",Operação,Fiscal Operacional,4,4
181,Safira,45,5,Atendimento,Supervisor Atendimento,5,5
182,Sirius,32,"0,2",Financeiro,Analista Financeiro,3,4
183,Águia,46,"4,8",Manutenção,Técnico de Manutenção,3,3
184,Jade,50,"1,9",Operação,Despachante,4,5
185,Vento,58,"5,9",Comercial,Analista Comercial,4,4
186,Sol,18,"11,7",Comercial,Executivo Comercial,5,5
187,Atlas,44,"1,6",Atendimento,Atendente,3,4
188,Eco,26,"2,7",Operação,Supervisor Operacional,4,5
189,Panda,35,"12,9",Operação,Despachante,4,4
190,Lua,31,"1,6",Manutenção,Técnico de Manutenção,4,3
191,Orion,20,"1,1",Administrativo,Analista Administrativo,4,5
192,Panda,27,"14,7",Tecnologia,Analista de Dados,4,4
193,Águia,19,"2,9",Operação,Motorista,5,5
194,Lobo,47,"24,7",Comercial,Executivo Comercial,4,5
195,Orion,25,"20,9",Manutenção,Mecânico,4,5
196,Falcão,36,"1,5",Operação,Despachante,5,4
197,Pixel,41,"2,5",Operação,Despachante,4,4
198,Falcão,35,"0,3",Operação,Supervisor Operacional,5,5
199,Delta,52,"0,5",Operação,Fiscal Operacional,5,5
200,Panda,33,"5,4",Operação,Motorista,4,5
201,Atlas,33,"4,4",Manutenção,Auxiliar de Manutenção,3,4
202,Bravo,36,"14,3",Operação,Fiscal Operacional,5,5
203,Eco,27,"19,8",Atendimento,Supervisor Atendimento,3,3
204,Safira,25,"14,3",Manutenção,Eletricista,4,3
205,Lua,49,"28,2",Operação,Supervisor Operacional,4,4
206,Eco,36,"1,6",Financeiro,Assistente Financeiro,3,3
207,Vento,36,"6,1",Operação,Fiscal Operacional,5,5
208,Nuvem,19,"2,9",Operação,Motorista,3,4
209,Aurora,27,"0,4",Comercial,Executivo Comercial,3,4
210,Sirius,36,"0,2",Financeiro,Analista Financeiro,5,5
211,Sol,33,"13,2",Operação,Supervisor Operacional,5,5
212,Vento,44,"24,8",Operação,Fiscal Operacional,4,4
213,Orion,37,"1,7",Administrativo,Coordenador Administrativo,4,4
214,Atlas,31,"2,7",Operação,Despachante,3,3
215,Falcão,29,"11,2",Operação,Motorista,5,5
216,Sirius,43,"11,6",Operação,Fiscal Operacional,5,5
217,Bravo,51,"3,6",Operação,Fiscal Operacional,5,5
218,Lobo,25,"1,9",Administrativo,Coordenador Administrativo,4,4
219,Cometa,19,"14,4",Operação,Fiscal Operacional,5,5
220,Cometa,29,"1,7",Administrativo,Analista Administrativo,4,4
221,Lobo,25,"0,7",Tecnologia,Analista de Dados,4,4
222,Trovão,45,"0,9",Operação,Fiscal Operacional,4,4
223,Jade,42,"4,2",Operação,Despachante,4,4
224,Nuvem,47,"5,3",Comercial,Analista Comercial,3,3
225,Pixel,37,"6,9",Operação,Fiscal Operacional,5,4
226,Aurora,38,"11,2",Operação,Motorista,4,4
227,Sol,27,"0,3",Operação,Fiscal Operacional,4,4
228,Cometa,31,"1,9",Comercial,Analista Comercial,4,5
229,Sol,19,"21,1",Comercial,Executivo Comercial,4,4
230,Delta,29,"1,9",Operação,Fiscal Operacional,4,4
231,Jade,27,"8,8",Operação,Despachante,5,5
232,Jade,29,"2,7",Operação,Despachante,4,4
233,Lua,33,"0,4",Operação,Fiscal Operacional,5,5
234,Eco,53,"0,3",Manutenção,Técnico de Manutenção,3,3
235,Orion,27,"2,9",Tecnologia,Desenvolvedor,5,4
236,Vento,43,"4,5",Operação,Supervisor Operacional,5,5
237,Cometa,41,"2,9",Atendimento,Atendente,4,4
238,Falcão,34,"0,3",Administrativo,Analista Administrativo,4,4
239,Safira,32,"12,4",Manutenção,Auxiliar de Manutenção,4,5
240,Aurora,54,7,Operação,Supervisor Operacional,4,4
241,Águia,39,"1,1",Operação,Supervisor Operacional,5,5
242,Safira,32,"0,3",Operação,Fiscal Operacional,5,5
243,Águia,52,"0,2",Atendimento,Supervisor Atendimento,3,2
244,Lua,34,"12,5",Marketing,Assistente Marketing,5,5
245,Eco,61,"0,6",Comercial,Executivo Comercial,4,4
246,Delta,39,"14,6",RH,Analista RH,5,5
247,Atlas,32,"2,2",Operação,Motorista,5,5
248,Aurora,27,"3,1",Planejamento,Analista Planejamento,4,3
249,Nuvem,32,"14,1",Operação,Despachante,5,5
250,Nuvem,49,"2,2",Financeiro,Analista Financeiro,3,2
251,Lobo,30,"8,3",Atendimento,Atendente,4,3
252,Nuvem,29,"1,7",Operação,Supervisor Operacional,4,3
253,Aurora,19,"13,9",Comercial,Analista Comercial,3,3
254,Aurora,38,3,Operação,Motorista,5,5
255,Panda,47,"0,6",Tecnologia,Analista de Dados,3,4
256,Lobo,34,"1,2",Operação,Fiscal Operacional,4,3
257,Cometa,37,"4,2",Jurídico,Assistente Jurídico,5,5
258,Eco,39,"5,3",Atendimento,Atendente,3,4
259,Nuvem,37,"13,2",Administrativo,Analista Administrativo,3,3
260,Nuvem,29,"0,4",Financeiro,Analista Financeiro,4,4
261,Lobo,30,"12,5",Manutenção,Técnico de Manutenção,4,3
262,Aurora,32,2,Operação,Motorista,3,4
263,Lobo,36,"0,9",Marketing,Assistente Marketing,4,4
264,Panda,31,22,Marketing,Analista Marketing,5,5
265,Lua,46,24,Administrativo,Analista Administrativo,5,5
266,Aurora,33,"0,7",Operação,Despachante,5,5
267,Sol,35,"5,4",Operação,Fiscal Operacional,5,5
268,Lobo,45,"2,9",Operação,Motorista,3,3
269,Trovão,43,"1,5",Tecnologia,Analista de Sistemas,3,3
270,Aurora,35,"12,2",Comercial,Executivo Comercial,5,5
271,Águia,31,"2,8",Comercial,Executivo Comercial,5,5
272,Delta,28,"0,3",Operação,Motorista,5,5
273,Águia,21,8,Planejamento,Analista Planejamento,4,3
274,Delta,36,"0,5",Operação,Despachante,4,4
275,Nuvem,45,"1,9",Operação,Despachante,4,5
276,Águia,30,"1,4",Administrativo,Analista Administrativo,4,5
277,Sirius,34,"2,9",Operação,Motorista,5,5
278,Pixel,56,"26,6",Operação,Despachante,4,4
279,Lobo,21,2,Tecnologia,Desenvolvedor,3,3
280,Jade,25,"20,7",Planejamento,Analista Planejamento,4,3
281,Nuvem,28,"13,2",Manutenção,Técnico de Manutenção,4,4
282,Jade,26,"2,7",Operação,Supervisor Operacional,3,3
283,Orion,36,"2,8",Manutenção,Auxiliar de Manutenção,3,2
284,Lua,26,"6,6",Operação,Motorista,4,4
285,Jade,24,"15,6",Financeiro,Analista Financeiro,5,5
286,Jade,27,"0,2",Operação,Fiscal Operacional,4,5
287,Delta,39,"0,9",Comercial,Analista Comercial,3,4
288,Nuvem,29,"14,5",Comercial,Executivo Comercial,4,4
289,Eco,44,"20,1",Operação,Despachante,4,5
290,Lua,34,"1,4",Operação,Motorista,5,5
291,Delta,38,"1,2",Administrativo,Assistente Administrativo,3,2
292,Atlas,24,"12,2",Operação,Despachante,5,5
293,Sirius,34,"1,5",Operação,Motorista,4,4
294,Sirius,47,"6,2",Planejamento,Analista Planejamento,4,4
295,Lobo,39,"2,7",Tecnologia,Analista de Sistemas,4,4
296,Sol,40,"1,6",Operação,Despachante,4,4
297,Orion,24,"6,1",Operação,Despachante,5,5
298,Aurora,51,"11,8",Marketing,Assistente Marketing,5,5
299,Vento,34,"13,5",Planejamento,Analista Planejamento,4,4
300,Pixel,34,"1,1",RH,Analista RH,5,5
301,Falcão,35,"0,4",Operação,Despachante,4,3
302,Cometa,29,23,Operação,Supervisor Operacional,4,5
303,Sol,45,"9,3",Operação,Fiscal Operacional,5,5
304,Safira,49,"29,5",RH,Business Partner,4,4
305,Safira,41,"0,5",Experiência do Cliente,Analista CX,2,2
306,Delta,34,"3,4",Experiência do Cliente,Analista CX,4,3
307,Sol,48,"1,3",Manutenção,Eletricista,4,4
308,Pixel,29,"3,6",Operação,Despachante,5,5
309,Cometa,19,"2,5",Operação,Despachante,4,4
310,Lua,41,"1,2",Operação,Supervisor Operacional,5,5
311,Lobo,29,"1,2",Administrativo,Coordenador Administrativo,3,4
312,Trovão,43,"0,9",Operação,Despachante,4,5
313,Panda,18,"6,1",Planejamento,Analista Planejamento,3,3
314,Sol,43,"2,3",Administrativo,Coordenador Administrativo,5,5
315,Atlas,31,"2,9",Operação,Despachante,4,5
316,Safira,33,"24,8",Financeiro,Analista Financeiro,4,4
317,Eco,33,"2,2",Administrativo,Coordenador Administrativo,4,4
318,Safira,24,31,Operação,Supervisor Operacional,5,4
319,Cometa,42,1,Administrativo,Assistente Administrativo,3,3
320,Panda,48,"1,1",Operação,Motorista,4,5
321,Pixel,24,"2,8",Operação,Supervisor Operacional,5,5
322,Trovão,30,"0,6",Operação,Supervisor Operacional,5,5
323,Trovão,38,"3,8",RH,Analista RH,4,4
324,Aurora,29,"2,6",Operação,Supervisor Operacional,4,4
325,Panda,49,"5,4",Administrativo,Analista Administrativo,4,4
326,Cometa,38,"2,2",Operação,Fiscal Operacional,4,3
327,Atlas,44,"2,8",Experiência do Cliente,Analista CX,3,4
328,Lua,52,"0,6",Manutenção,Técnico de Manutenção,3,3
329,Lobo,20,"1,6",Tecnologia,Desenvolvedor,4,4
330,Safira,30,"13,4",Manutenção,Mecânico,4,4
331,Lua,53,"6,9",Operação,Supervisor Operacional,4,3
332,Falcão,27,"1,8",Comercial,Executivo Comercial,5,5
333,Delta,38,"1,7",Comercial,Executivo Comercial,5,5
334,Sol,52,"1,6",Tecnologia,Desenvolvedor,5,5
335,Lobo,32,"0,9",Operação,Despachante,4,3
336,Águia,30,"0,5",Operação,Supervisor Operacional,4,4
337,Trovão,46,"1,2",Experiência do Cliente,Analista CX,3,4
338,Safira,45,"0,9",Atendimento,Atendente,4,4
339,Panda,29,"11,7",Administrativo,Coordenador Administrativo,4,5
340,Pixel,48,"3,7",Jurídico,Assistente Jurídico,4,4
341,Safira,26,"0,3",Atendimento,Atendente,4,4
342,Atlas,24,"12,7",Operação,Fiscal Operacional,5,5
343,Bravo,29,6,Administrativo,Assistente Administrativo,4,5
344,Safira,30,"2,9",Planejamento,Analista Planejamento,5,5
345,Nuvem,32,"0,4",Comercial,Executivo Comercial,3,2
346,Águia,28,"10,7",Operação,Despachante,5,5
347,Eco,27,"1,1",Experiência do Cliente,Analista CX,4,5
348,Sirius,23,"0,3",Financeiro,Assistente Financeiro,4,5
349,Cometa,23,"1,8",Manutenção,Técnico de Manutenção,5,5
350,Águia,41,"22,9",Tecnologia,Analista de Dados,4,5
351,Vento,20,"13,4",Tecnologia,Desenvolvedor,5,5
352,Águia,30,"0,6",Operação,Supervisor Operacional,5,5
353,Atlas,34,"2,3",Operação,Fiscal Operacional,4,4
354,Trovão,33,"3,9",Financeiro,Analista Financeiro,5,4
355,Aurora,58,"0,5",Marketing,Assistente Marketing,4,5
356,Sol,31,"5,4",Comercial,Analista Comercial,4,4
357,Vento,27,"0,4",Atendimento,Atendente,4,4
358,Pixel,33,"0,8",Manutenção,Eletricista,4,4
359,Eco,27,"1,6",Tecnologia,Desenvolvedor,5,5
360,Jade,31,"4,9",Operação,Fiscal Operacional,4,5
361,Aurora,29,"1,4",Operação,Motorista,5,5
362,Sirius,20,"0,3",Atendimento,Supervisor Atendimento,5,5
363,Vento,25,"6,7",Operação,Motorista,3,2
364,Aurora,32,"22,7",Comercial,Analista Comercial,4,4
365,Atlas,18,"3,7",Operação,Despachante,5,5
366,Delta,33,"0,9",Administrativo,Analista Administrativo,4,4
367,Delta,52,"1,1",Manutenção,Técnico de Manutenção,4,3
368,Atlas,60,"10,6",Operação,Supervisor Operacional,4,5
369,Sirius,22,"2,2",Administrativo,Analista Administrativo,4,4
370,Pixel,29,"4,3",Experiência do Cliente,Analista CX,3,2
371,Cometa,38,"8,5",Operação,Supervisor Operacional,5,5
372,Jade,33,"2,5",RH,Business Partner,4,5
373,Águia,43,"0,2",Operação,Motorista,4,4
374,Nuvem,49,9,Manutenção,Eletricista,4,4
375,Delta,52,"1,5",Planejamento,Analista Planejamento,4,4
376,Delta,43,"28,8",Operação,Motorista,5,5
377,Falcão,32,"2,1",Administrativo,Analista Administrativo,3,3
378,Jade,28,"0,8",Atendimento,Atendente,4,3
379,Aurora,26,"0,9",Tecnologia,Desenvolvedor,4,4
380,Aurora,18,"0,2",Jurídico,Assistente Jurídico,3,3
381,Sol,30,"2,6",Operação,Supervisor Operacional,4,3
382,Vento,31,"7,5",Operação,Despachante,4,5
383,Trovão,34,"4,5",Operação,Supervisor Operacional,4,4
384,Águia,29,"4,2",Manutenção,Auxiliar de Manutenção,3,4
385,Sol,32,"3,6",Tecnologia,Desenvolvedor,3,4
386,Vento,28,"3,9",Planejamento,Analista Planejamento,4,5
387,Trovão,32,"6,6",Operação,Despachante,5,5
388,Vento,28,"0,8",Planejamento,Analista Planejamento,2,2
389,Safira,48,"2,4",Comercial,Executivo Comercial,5,5
390,Nuvem,31,"14,1",Marketing,Assistente Marketing,4,4
391,Trovão,35,"22,4",Atendimento,Atendente,4,3
392,Cometa,23,"9,7",Operação,Supervisor Operacional,5,5
393,Vento,28,"5,6",Operação,Motorista,4,4
394,Panda,27,"6,6",Jurídico,Assistente Jurídico,4,5
395,Cometa,50,"1,5",Jurídico,Assistente Jurídico,4,4
396,Falcão,49,"1,8",Administrativo,Analista Administrativo,4,5
397,Safira,36,3,Planejamento,Analista Planejamento,4,4
398,Falcão,48,"3,2",Operação,Despachante,4,4
399,Nuvem,28,"26,1",RH,Analista RH,5,5
400,Falcão,23,"2,6",Operação,Supervisor Operacional,4,3
401,Lobo,31,"3,2",Financeiro,Analista Financeiro,4,5
402,Vento,50,"7,3",Administrativo,Analista Administrativo,5,5
403,Panda,21,"1,3",Atendimento,Supervisor Atendimento,4,4
404,Jade,22,"2,7",Operação,Despachante,3,4
405,Trovão,31,"11,4",Tecnologia,Analista de Sistemas,5,5
406,Orion,20,"12,8",Manutenção,Mecânico,4,4
407,Lobo,31,7,Atendimento,Supervisor Atendimento,3,3
408,Orion,38,"3,3",Operação,Fiscal Operacional,5,4
409,Nuvem,22,"3,1",Operação,Motorista,3,3
410,Sirius,54,2,Comercial,Executivo Comercial,5,5
411,Eco,30,"2,9",Manutenção,Eletricista,5,5
412,Sirius,37,"6,9",Administrativo,Coordenador Administrativo,4,3
413,Pixel,18,"9,4",Atendimento,Atendente,2,2
414,Delta,35,"1,9",Financeiro,Assistente Financeiro,5,5
415,Águia,36,5,Marketing,Analista Marketing,4,3
416,Cometa,25,"2,5",Operação,Despachante,4,3
417,Cometa,47,"9,2",Atendimento,Atendente,5,5
418,Delta,51,"5,9",Comercial,Executivo Comercial,4,4
419,Bravo,32,"0,8",Atendimento,Supervisor Atendimento,4,4
420,Lobo,47,"0,6",Manutenção,Auxiliar de Manutenção,3,3
421,Cometa,25,"4,5",Manutenção,Mecânico,4,4
422,Jade,42,"2,3",Administrativo,Analista Administrativo,5,5
423,Jade,26,"2,2",Comercial,Executivo Comercial,4,5
424,Atlas,42,"3,5",Comercial,Executivo Comercial,4,4
425,Panda,21,"1,3",Administrativo,Coordenador Administrativo,3,4
426,Lua,31,"11,3",Experiência do Cliente,Analista CX,4,5
427,Pixel,28,"9,7",Operação,Motorista,5,5
428,Atlas,23,"0,3",Manutenção,Mecânico,5,5
429,Trovão,34,28,Manutenção,Técnico de Manutenção,4,4
430,Águia,29,"5,3",Administrativo,Coordenador Administrativo,5,5
431,Eco,21,"2,1",Manutenção,Auxiliar de Manutenção,3,3
432,Bravo,21,"5,5",Comercial,Executivo Comercial,5,5
433,Bravo,34,"11,1",Operação,Fiscal Operacional,4,4
434,Bravo,28,"12,4",Operação,Fiscal Operacional,5,5
435,Pixel,47,"5,9",Manutenção,Auxiliar de Manutenção,4,4
436,Atlas,27,"0,7",Operação,Motorista,4,4
437,Falcão,23,"1,5",Comercial,Executivo Comercial,4,5
438,Eco,29,"4,7",Manutenção,Mecânico,4,4
439,Atlas,60,"5,7",Administrativo,Assistente Administrativo,5,5
440,Sol,24,"13,1",Operação,Motorista,4,5
441,Panda,32,"22,3",Manutenção,Eletricista,3,4
442,Pixel,20,12,Operação,Motorista,4,5
443,Vento,19,"6,9",Experiência do Cliente,Analista CX,4,5
444,Trovão,23,"5,7",Experiência do Cliente,Analista CX,4,4
445,Falcão,43,"1,2",Operação,Motorista,4,4
446,Aurora,32,"15,4",Operação,Fiscal Operacional,5,5
447,Falcão,18,5,Operação,Despachante,5,5
448,Aurora,56,"1,1",Tecnologia,Desenvolvedor,4,4
449,Nuvem,41,"0,6",Administrativo,Coordenador Administrativo,3,3
450,Lobo,50,"1,2",RH,Analista RH,3,3
451,Delta,27,"0,7",Marketing,Assistente Marketing,4,3
